campaign_name,ad_name,ad_set_name,Amount_Spent,Results,Impressions,Link_Clicks,Cost_per_Results,CPM,CPC,Link_Clicks_to_Results_Ratio
ldn|02.04|mid|rtg|quote|all-warm,elec|ifd-stor-rl|img|purple_cta_bulb,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,32.89,0,3656,16,,8.996170678,2.055625,
ldn|02.04|mid|rtg|quote|all-warm,elec|ifd-stor-rl|img|purple_cta_bulb,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,114.39,9,13676,60,12.71,8.364287803,1.9065,666.6666667
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|img|cta_purple_bulb,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,3.36,0,376,4,,8.936170213,0.84,
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|img|greentextonly,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,10.66,0,1217,4,,8.759244043,2.665,
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|img|greentextonly,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,17.74,0,1972,17,,8.995943205,1.043529412,
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|vid|introvideo,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,87.94,8,6002,32,10.9925,14.65178274,2.748125,400
ldn|02.04|mid|rtg|quote|all-warm,gen|ifd-stor-rl|vid|introvideo,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,0.46,0,46,0,,10,,
ldn|02.04|mid|rtg|quote|all-warm,heat|ifd-stor-rl|img|cta_fixingheating,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,30,0,3260,10,,9.202453988,3,
ldn|02.04|mid|rtg|quote|all-warm,heat|ifd-stor-rl|img|cta_fixingheating,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,102.6,2,13131,34,51.3,7.813570939,3.017647059,1700
ldn|02.04|mid|rtg|quote|all-warm,plum||ifd-stor-rl|img|sitting,ldn|all|18-45|rtg|igfollowers&engagers|ig|all,348.25,26,39986,131,13.39423077,8.709298254,2.658396946,503.8461538
ldn|02.04|mid|rtg|quote|all-warm,plum||ifd-stor-rl|img|sitting,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,48.55,1,6195,30,48.55,7.836965295,1.618333333,3000
ldn|02.04|mid|rtg|quote|all-warm,ugc|ifd-stor-rl|vid|clip1,ldn|all|18-45|rtg|igfollowers&engagers|ig|all–newdaily,67.68,1,5252,46,67.68,12.88651942,1.471304348,4600
